Nom;Description;Adresse;Téléphone;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche
LE PHENICIEN;Fastfood, lounge – bar, boulangerie, gastronomie…, Le Phénicien vous propose des plats réalisés avec des produits frais de qualité dans un cadre convivial et chaleureux. Venez profitez de notre très large carte de boissons : soft drinks, vins, champagnes et de nos délicieux cocktails classiques ou spéciaux.;Bd du Mono, à côté du siège Ecobank (ETI) Ablogamé Lomé - Togo;Gsm: (+228) 93 33 33 31;07H30 — 00H00;07H30 — 00H00;07H30 — 00H00;07H30 — 01H00;07H30 — 01H00;07H30 — 01H00;07H30 — 01H00
LA BRUSCHETTA;La Bruschetta, c’est un bistro italien situé au sein d’un complexe de loisirs permettant à toute la famille de passer un bon moment. Vous trouverez chez nous, diverses boissons (cocktail, jus, soda, alcool divers), entrées (salade, bruschetta, antipasti), des pâtes à l’italienne (dont des gnocchis et ravioli fait maison). Sans oublier, le risotto, les grillades, les desserts ou encore la fameuse pizza à pâte fraîche cuite au feu de bois.;Au sein de Harmonie Signature, Résidence du Bénin. Lomé - Togo;Gsm: (+228) 91 97 77 77;Fermé;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;12H00 — 23H00;12H00 — 23H00
VIVI ROYALE;VIVI ROYALE est spécialisée dans le Service Traiteur, la Restauration, la Crêperie et le Bar. Venez découvrir les spécialités togolaises, africaines et européennes. Nous sommes à votre disposition pour tous vos évènements (mariage, anniversaire, rendez-vous professionnel etc…). Faites vos commandes d’avance pour un bon traitement de vos mets. Revaloriser la cuisine africaine, tel notre objectif.;41, Rue des Moussons, 2ème Rue en face de la Mairie Centrale ou 1ère Rue après ancien Maquina Loca, en venant de la Mairie Centrale Quartier Administratif - BP 1546 Lomé - Togo;Tel: (+228) 22 22 20 27;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00;18H00 — 23H00
ALT MÜNCHEN;Alliant simplicité et efficacité, ALT MÜNCHEN est le seul et unique restaurant allemand de la capitale. Il dispose d’une brasserie allemande et vous propose des mets français et allemands dans un cadre convivial et chaleureux propice pour vos dîners d’affaires, banquets, buffets…;Bd du Mono, non loin du rond-point port Zone Portuaire - BP 1499 Lomé - Togo;Tel: (+228) 90 04 68 45;19H00 — 22H30;19H00 — 22H30;19H00 — 22H30;19H00 — 22H30;19H00 — 22H30;19H00 — 22H30;19H00 — 22H30
COCO BEACH AVEPOZO CHEZ ANTOINE;COCO BEACH AVEPOZO CHEZ ANTOINE, est un cadre agréable et calme, bordure de mer sur 200 m, situé à une dizaine de Km de Lomé, capitale du Togo (West Africa), qui propose à ses visiteurs un contact avec la Nature, l’environnement du littoral, un air de gaîté pour vous ressourcer.;Route Nationale N°2, Lomé-Aného, Von face Pharmacie d’Avépozo Avépozo - 12 BP 399 Lomé - Togo;Gsm: (+228) 90 32 53 73;;;;;;;
LE RESEAU DES RESTAURANTS BAZAR VEGETARIEN;LE RESEAU DES RESTAURANTS BAZAR VEGETARIEN est spécialisé dans la Restauration végétarienne, service traiteur, livraison, Brochetterie, Fast food, Crémerie, Fruiterie, Pizza, Superette. Venez découvrir surtout les spécialités togolaises, africaines et européennes. Nous sommes à votre disposition pour tous vos évènements (mariage, anniversaire, rendez-vous professionnel etc…). Soyons végétariens, aimons la nature et les animaux !;Derrière Jess coiffure Agbalépédo Lomé - Togo;Gsm: (+228) 96 10 00 99;09H00 — 22H00;09H00 — 22H00;09H00 — 22H00;09H00 — 22H00;09H00 — 22H00;09H00 — 22H00;09H00 — 22H00
NEW TAST-LLER;Etablissement convivial et chaleureux, le restaurant NEW TAST - LLER vous propose une cuisine variée et savoureuse. Envie d'un café, d'un verre, d'un plat traditionnel, d'une pizza ou d’un service traiteur, vous trouverez votre bonheur chez nous. Nous vous accueillons tous les jours de la semaine, midi et soir, dans un cadre moderne et confortable. Venez découvrir notre carte et nos formules, et profitez de notre service rapide et attentionné.;Face retenue d’eau, Agoè 2 lions Lomé - Togo;Tel: (+228) 22 25 61 67;;;;;;;
O COIN BBQ;Coin chic, chaleureux, discret et apaisant, Ô Coin BBQ est le restaurant de spécialités de viandes grillées de Lomé. Poissons, volailles, pintades... mijotés, servis avec des cocktails alcoolisés ou non, assaisonnés à la perfection ;;;;;;;;;
ONOMO HOTEL LOME;"Inspirée par les valeurs du continent, la marque met tout en œuvre pour satisfaire ses clients qui font partie de la famille ONOMO. Grâce à une équipe professionnelle et passionnée, ONOMO a fait de l’hôtellerie un art et la formation de ses employés un credo. Gentil, disponible, serviable et toujours souriant. Chez ONOMO, ils s'appellent ""Heartbeats"", car ce sont eux qui donnent vie à la marque!";Bd. du Mono Bè Souza Nétimé - 01 BP 2135 Lomé 01 Lomé - Togo;Tel: (+228) 22 53 63 00;06H00 — 22H00;06H00 — 22H00;06H00 — 22H00;06H00 — 22H00;06H00 — 22H00;06H00 — 22H00;06H00 — 22H00
HOTEL ALIZE;L’HOTEL ALIZE est un restaurant Franco -Togolais orienté cuisine de poissons et crustacés profitant de la proximité de la zone de pêche. Situé à quelques mètres de la plage, il sera agréable de savourer les plats togolais, européens et autres, Buffet spécial.;Rue de la station MRS, bord de mer Baguida Lomé - Togo;Tel: (+228) 22 70 99 16;06H00 — 23H00;06H00 — 23H00;06H00 — 23H00;06H30 — 23H00;06H00 — 23H00;06H00 — 23H00;06H00 — 23H00
